lr,bs,mdl,nr,accuracy,f1_micro,f1_macro
0.0001,2000,1e-07,3,0.6475,0.6475,0.6447803495512519
0.0001,2000,1e-07,5,0.6325,0.6325,0.6324793269621416
0.0001,2000,1e-07,7,0.6275,0.6275,0.6274790456963204
0.0001,2000,1e-06,3,0.6575,0.6575,0.6572407883461868
0.0001,2000,1e-06,5,0.66,0.66,0.6598639455782312
0.0001,2000,1e-06,7,0.6775,0.6775,0.6733660389302105
0.0001,2000,1e-05,3,0.6325,0.6325,0.6318350019723125
0.0001,2000,1e-05,5,0.635,0.635,0.6349634963496349
0.0001,2000,1e-05,7,0.6325,0.6325,0.629664619744922
0.0001,3000,1e-07,3,0.66,0.66,0.6595829891617231
0.0001,3000,1e-07,5,0.665,0.665,0.6622643411634237
0.0001,3000,1e-07,7,0.655,0.655,0.6524892347208582
0.0001,3000,1e-06,3,0.6175,0.6175,0.6172105154523109
0.0001,3000,1e-06,5,0.66,0.66,0.6599914997874947
0.0001,3000,1e-06,7,0.6425,0.6425,0.6410980392156863
0.0001,3000,1e-05,3,0.66,0.66,0.6595829891617231
0.0001,3000,1e-05,5,0.665,0.665,0.6647904940587868
0.0001,3000,1e-05,7,0.6425,0.6425,0.6390688987184422
0.0001,4000,1e-07,3,0.655,0.655,0.6539532084555781
0.0001,4000,1e-07,5,0.62,0.62,0.6199144807581706
0.0001,4000,1e-07,7,0.625,0.625,0.6243990384615384
0.0001,4000,1e-06,3,0.6575,0.6575,0.6534957097963339
0.0001,4000,1e-06,5,0.64,0.64,0.6399189817708985
0.0001,4000,1e-06,7,0.6575,0.6575,0.653863402371162
0.0001,4000,1e-05,3,0.64,0.64,0.6382273138378052
0.0001,4000,1e-05,5,0.6475,0.6475,0.6472332201227178
0.0001,4000,1e-05,7,0.6675,0.6675,0.666748100401531
0.001,2000,1e-07,3,0.6175,0.6175,0.6157492575547338
0.001,2000,1e-07,5,0.6325,0.6325,0.6319824753559693
0.001,2000,1e-07,7,0.605,0.605,0.6005965772643393
0.001,2000,1e-06,3,0.625,0.625,0.6236451224407868
0.001,2000,1e-06,5,0.6275,0.6275,0.626657646314497
0.001,2000,1e-06,7,0.6075,0.6075,0.6044717367343726
0.001,2000,1e-05,3,0.615,0.615,0.6133664733499034
0.001,2000,1e-05,5,0.635,0.635,0.6344150641025641
0.001,2000,1e-05,7,0.6125,0.6125,0.6087809741353745
0.001,3000,1e-07,3,0.6125,0.6125,0.6107263720325734
0.001,3000,1e-07,5,0.6325,0.6325,0.6316689530753763
0.001,3000,1e-07,7,0.6075,0.6075,0.6037329867048631
0.001,3000,1e-06,3,0.6225,0.6225,0.6202189400084256
0.001,3000,1e-06,5,0.63,0.63,0.6290726817042607
0.001,3000,1e-06,7,0.6,0.6,0.5967335416876701
0.001,3000,1e-05,3,0.6175,0.6175,0.6157492575547338
0.001,3000,1e-05,5,0.6275,0.6275,0.6271061308507111
0.001,3000,1e-05,7,0.595,0.595,0.5920525798897031
0.001,4000,1e-07,3,0.6175,0.6175,0.6151887272933054
0.001,4000,1e-07,5,0.63,0.63,0.6292492296901225
0.001,4000,1e-07,7,0.6025,0.6025,0.5990695387408513
0.001,4000,1e-06,3,0.62,0.62,0.6175523349436394
0.001,4000,1e-06,5,0.62,0.62,0.6192289386006664
0.001,4000,1e-06,7,0.6025,0.6025,0.5997759752314189
0.001,4000,1e-05,3,0.6175,0.6175,0.6157492575547338
