Dataset,Algorithm,Silhouette,Dunn,Rand,Pearson
Atom,KMeans,0.38855200104595833,0.03422080959405737,0.17362291811872066,0.5136370944265336
Atom,DBSCAN,0.4608703145263482,0.018506859338438073,0.5676691493349971,0.9151159196707592
Atom,Agglomerative,0.3837732171349504,0.06842026358415619,0.0670717687962496,-0.3865556717425344
Atom,CDSDG Clustering,0.4535468980468114,0.03623126054755797,0.4823115455817502,-0.2953987379823096
Atom,CDSDG Voting,0.45330947668308974,0.03623126054755797,0.48779199165633147,-0.29796923124901825
Atom,CDSDG Clustering with n_clusters,0.3880439298074762,0.02739703652964058,0.17154297456833126,0.5116929284217695
Chainlink,KMeans,0.26739455535705586,0.008943702424738981,0.22033878440426938,-0.5542468245138257
Chainlink,DBSCAN,0.1536358301003274,0.22072087380801053,1.0,1.0
Chainlink,Agglomerative,0.27194296371045484,0.018815764711357534,-0.0009024930884612038,0.008145237499981216
Chainlink,CDSDG Clustering,0.434950901502959,0.009196589312787542,0.3283042916249455,0.4267776309762005
Chainlink,CDSDG Voting,0.434950901502959,0.009196589312787542,0.3283042916249455,0.4267776309762005
Chainlink,CDSDG Clustering with n_clusters,0.24763306277552113,0.014690453323024934,0.0763714624012772,0.27982424429199426
EngyTime,KMeans,0.4132818049643878,0.004957396470377553,0.8124173072083217,0.904415286113066
EngyTime,DBSCAN,0.38245512154434474,0.035779430673246584,1.4308618287930934e-06,-0.027073210190013918
EngyTime,Agglomerative,0.40790823660410674,0.003909642277374,0.8080210781632641,0.9027782794946011
EngyTime,CDSDG Clustering,0.4144927625154886,0.003058394824361049,0.5011675532520906,0.7251630022293819
EngyTime,CDSDG Voting,-0.03815104056262948,0.00209353171352476,0.05167392325511542,0.2856323640543139
EngyTime,CDSDG Clustering with n_clusters,0.4133670325438391,0.0009423023576088916,0.8141791637943709,0.9053225730274677
Hepta,KMeans,0.7021314652392165,1.0497544943326034,1.0,-0.08428879475802996
Hepta,DBSCAN,0.7021314652392165,1.0497544943326034,1.0,0.9999999999999999
Hepta,Agglomerative,0.7021314652392165,1.0497544943326034,1.0,-0.4404486967997361
Hepta,CDSDG Clustering,0.7021314652392165,1.0497544943326034,1.0,0.9999999999999999
Hepta,CDSDG Voting,0.7021314652392165,1.0497544943326034,1.0,0.9999999999999999
Hepta,CDSDG Clustering with n_clusters,0.7021314652392165,1.0497544943326034,1.0,0.1128920202490152
Tetra,KMeans,0.5057941660374363,0.22378697957704358,1.0,0.3999999999999999
Tetra,DBSCAN,0.30661015070467,0.10100394122547057,0.6870281948781154,0.8390663013519947
Tetra,Agglomerative,0.495198706501583,0.1429270591555413,0.9672676330087653,0.015008444625821345
Tetra,CDSDG Clustering,0.4927712296960379,0.04231990369091798,0.9666577042947434,-0.008965304169713102
Tetra,CDSDG Voting,0.4927712296960379,0.04231990369091798,0.9666577042947434,-0.008965304169713102
